Filter #	Sample #	Replicate	Start Time	End Time	Filtration time (h)	Hours after sunrise	Volume (ml)	RNA extracted	Internal St	Internal St added (ng)	Qubit [ ] (ng/ul)	Nanodrop [ ] (ng/ul)	Nanodrop 260/280	Mass for sequencing (ng)	RIN	
ME 15 0256	1	1	6:07	6:11	0:04	0:00	500	Y	Y	180	37.2	30.8	2	930	7.2	6.8
ME 15 0257	1	2	6:26	6:28	0:02	0:19	400									
ME 15 0258	1	3	6:32	6:35	0:03	0:25	410									
ME 15 0259	1	4														
ME 15 0260	2	1	8:16	8:20	0:04	2:09	350	Y			N/A	N/A	N/A	N/A		
ME 15 0261	2	2	8:24	8:27	0:03	2:17	350									
ME 15 0262	2	3	8:30	8:33	0:03	2:23	400									
ME 15 0263	3	1	10:08	10:11	0:03	4:01	400	Y	Y	180	47.6	36.1	2	1190	6.9	6.4
ME 15 0264	3	2	10:18	10:21	0:03	4:11	400									
ME 15 0265	3	3	10:23	10:28	0:05	4:16	400									
ME 15 0266	4	1	12:08	12:11	0:03	6:01	375	Y			57.2	63.8	1.75	1430	2.5	6.6
ME 15 0267	4	2	12:16	12:20	0:04	6:09	375									
ME 15 0268	4	3	12:24	12:27	0:03	6:17	375									
ME 15 0269	4	4														
ME 15 0270	5	1	14:10	14:14	0:04	8:03	400	Y	Y	180	22.6	18.4	1.82	565	6.8	6.9
ME 15 0271	5	2	14:18	14:22	0:04	8:11	400									
ME 15 0272	5	3	14:26	14:32	0:06	8:19	400									
ME 15 0273	6	1	16:08	16:12	0:04	10:01	400	Y			21.2	41.2	1.57	530	7.3	7
ME 15 0274	6	2	16:15	16:21	0:06	10:08	400									
ME 15 0275	6	3	16:24	16:29	0:05	10:17	400									
ME 15 0276	7	1	18:09	18:12	0:03	12:02	310	Y	Y	180	14.76	12.4	1.79	369		6.8
ME 15 0277	7	2	18:21	18:25	0:04	12:14	300									
ME 15 0278	7	3	18:31	18:35	0:04	12:24	300									
ME 15 0279	7	4														
ME 15 0280	8	1	20:04	20:09	0:05	13:57	320	Y			11.78	30.7	1.46	294.5		N/A
ME 15 0281	8	2	20:15	20:19	0:04	14:08	310									
ME 15 0282	8	3	20:23	20:29	0:06	14:16	310									
ME 15 0283	9	1	22:06	22:08	0:02	15:59	200	Y	Y	180	5.06	4.7	1.44	126.5		6.9
ME 15 0284	9	2	22:13	22:16	0:03	16:06	200									
ME 15 0285	9	3	22:19	22:21	0:02	16:12	200									
ME 15 0286	10	1	0:08	0:14	0:06	18:01	330	Y			23.8	25.2	1.64	595		7.2
ME 15 0287	10	2	0:21	0:26	0:05	18:14	310									
ME 15 0288	10	3	0:28	0:33	0:05	18:21	290									
ME 15 0289	10	4	0:40	0:45	0:05	18:33	280									
ME 15 0290	11	1	2:08	2:13	0:05	20:01	350	Y	Y	180	26.8	53.2	1.6	670		6.6
ME 15 0291	11	2	2:19	2:24	0:05	20:12	230									
ME 15 0292	11	3	2:28	2:33	0:05	20:21	250									
ME 15 0293	12	1	4:08	4:13	0:05	22:01	300	Y			18.7	32.1	1.57	467.5		6.7
ME 15 0294	12	2	4:18	4:20	0:02	22:11	400									
ME 15 0295	12	3	4:23	4:27	0:04	22:16	400									
ME 15 0296	13	1	6:08	6:13	0:05	0:01	370	Y			65.8	101.3	1.69	1645	7.5	
ME 15 0297	13	2	6:17	6:20	0:03	0:10	400									
ME 15 0298	13	3	6:24	6:26	0:02	0:17	400									
